Zupanija,BrojKorisnika,Udjel
Grad Zagreb,257.573,"30,67%"
Splitsko-dalmatinska,74.408,"8,86%"
Primorsko-goranska,64.91199999999999,"7,73%"
Zagrebačka,59.68,"7,11%"
Osječko-baranjska,47.031000000000006,"5,60%"
Istarska,45.909,"5,47%"
Varaždinska,33.438,"3,98%"
Zadarska,26.755,"3,19%"
Sisačko-moslavačka,24.945,"2,97%"
Krapinsko-zagorska,22.565,"2,69%"
Vukovarsko-srijemska,22.289,"2,65%"
Međimurska,21.279,"2,53%"
Brodsko-posavska,19.819000000000003,"2,36%"
Dubrovačko-neretvanska,19.427,"2,31%"
Karlovačka,18.433,"2,19%"
Koprivničko-križevačka,18.362000000000002,"2,19%"
Bjelovarsko-bilogorska,14.912,"1,78%"
Šibensko-kninska,14.309000000000001,"1,70%"
Virovitičko-podravska,10.845999999999998,"1,29%"
Požeško-slavonska,9.33,"1,11%"
Nepoznato,7.341,"0,87%"
Ličko-senjska,6.31,"0,75%"
